Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
08/06/2021,466,5,28,67,136,125,51,42,26,15,4,0,223,242,1,103,23,116,137,18,69,1,0,1,0,0,0,1,2,0,1,4,0,1,0,3,1,0,0,2,3,5,5,7,2,4,0,0,14,14,0,7,0,17,4,0,0
12/06/2021,1215,6,76,326,234,233,176,115,77,25,17,12,655,552,8,195,40,319,318,127,216,0,0,0,2,1,1,1,1,0,2,4,0,2,0,3,1,0,0,3,3,7,11,10,18,11,13,0,38,38,0,13,1,38,21,1,2
02/18/2021,315,6,36,36,98,52,50,42,25,10,2,0,163,151,1,106,9,62,93,23,22,0,0,0,0,1,0,5,0,0,4,2,0,0,0,4,2,0,0,0,2,6,4,8,7,8,1,0,20,16,0,11,0,16,7,2,0
09/23/2021,364,5,32,82,84,74,45,29,29,14,7,0,189,173,2,71,10,98,124,25,36,0,0,1,1,1,1,0,1,0,3,2,0,1,0,4,0,0,0,0,3,2,8,4,8,5,2,0,15,17,0,8,2,15,5,1,1
05/05/2021,483,6,48,97,130,81,75,59,25,7,9,0,256,226,1,121,22,199,72,9,60,0,1,0,1,0,2,0,2,0,4,2,0,1,0,5,0,0,0,0,4,9,5,9,13,2,6,0,29,19,0,8,2,28,8,0,2
08/14/2021,407,6,44,78,102,100,49,33,29,12,4,0,217,189,1,100,15,101,128,12,51,0,0,1,0,1,4,0,0,0,2,4,0,0,0,5,1,0,0,1,4,6,4,16,6,7,0,0,22,22,0,12,0,18,12,2,0
01/06/2022,5794,36,228,988,1250,1108,812,724,489,240,179,4,3089,2663,42,1312,261,1065,1317,392,1447,0,1,0,2,8,5,8,12,0,21,15,0,7,2,18,9,0,0,8,20,15,22,33,44,38,48,0,129,99,0,44,6,111,56,2,9
03/05/2021,292,6,24,47,77,63,38,29,24,8,6,0,151,141,0,77,25,67,84,17,22,0,0,0,0,0,1,1,4,0,4,2,0,1,0,3,2,0,0,1,1,0,2,10,5,1,4,0,12,12,0,4,2,10,7,1,0
04/07/2021,843,3,55,136,250,187,113,80,45,15,17,0,441,401,1,212,40,226,257,14,94,0,0,0,0,1,0,1,1,0,2,1,0,2,0,0,1,0,0,4,3,4,6,12,8,7,11,0,30,25,0,12,2,33,6,2,0
03/03/2021,336,5,23,46,90,72,56,29,25,14,4,0,160,176,0,86,21,75,101,30,23,0,0,0,0,0,1,1,3,0,3,2,0,0,1,3,1,0,0,1,2,1,1,4,7,5,2,0,15,8,0,2,0,13,8,0,0
05/06/2021,402,8,56,64,101,83,49,46,39,13,7,0,220,181,1,107,6,167,65,8,49,0,0,0,0,1,4,1,2,0,5,3,0,3,0,4,1,0,0,0,8,1,6,15,12,11,3,0,33,23,0,10,2,34,8,0,2
12/21/2020,1464,26,92,172,300,270,272,192,115,84,59,0,734,723,7,531,71,278,366,62,156,0,0,0,1,2,5,8,10,0,14,12,0,9,1,10,6,0,0,1,5,6,8,20,13,19,20,0,42,50,0,23,4,38,20,2,5
10/17/2020,547,5,44,70,139,115,95,58,45,15,10,0,275,272,0,235,17,75,158,21,41,0,0,0,1,0,1,0,3,0,2,3,0,3,0,2,0,0,0,2,7,4,5,4,9,6,7,0,31,13,0,15,2,19,7,1,0
10/06/2020,560,2,29,61,176,105,93,71,32,17,5,0,294,265,1,227,15,70,181,18,49,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,5,5,5,4,5,3,1,0,10,19,0,11,1,8,7,1,1
11/12/2020,2928,18,114,329,742,571,495,383,255,114,39,0,1497,1423,8,1128,72,501,751,133,343,0,0,0,0,2,6,3,7,0,10,8,0,5,1,6,6,0,0,4,5,8,12,19,32,21,13,0,64,50,0,29,4,41,29,7,4
04/04/2021,308,5,41,46,70,68,60,35,16,8,5,0,155,152,1,77,23,84,98,8,18,0,0,0,1,2,0,1,1,0,1,4,0,1,0,3,1,0,0,0,3,10,6,7,6,3,6,0,25,16,0,9,2,25,5,0,0
08/16/2020,120,3,18,10,40,28,9,15,10,6,1,1,56,63,1,29,6,20,50,7,8,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,6,0,1,2,5,1,3,0,12,6,0,9,1,6,2,0,0
12/08/2021,1291,10,58,324,307,273,155,119,59,28,26,0,652,633,6,210,38,359,340,101,243,0,0,0,2,3,1,2,2,0,2,8,0,2,1,5,2,0,0,0,7,12,9,9,13,4,4,0,34,24,0,15,1,25,8,4,5
09/13/2021,553,7,41,129,127,120,64,46,35,23,9,0,277,275,1,103,23,170,128,52,77,0,0,2,1,0,3,1,0,0,1,6,0,4,0,2,1,0,0,2,3,4,5,10,7,5,5,0,26,15,0,5,0,25,7,0,4
02/15/2021,259,7,23,35,63,59,35,29,21,14,3,0,127,131,1,70,16,48,87,13,25,0,0,0,0,1,1,3,2,0,4,3,0,1,0,3,3,0,0,1,1,4,2,3,8,3,1,0,10,13,0,2,1,14,5,0,1
11/07/2021,306,5,22,64,79,73,45,25,12,5,3,0,163,142,1,40,12,66,100,22,66,0,0,0,0,1,1,2,1,0,2,3,0,3,0,2,0,0,0,1,3,0,7,3,3,3,2,0,13,9,0,9,0,11,2,0,0
07/18/2020,132,4,15,13,37,25,21,19,9,5,3,0,61,71,0,44,1,47,23,3,14,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,0,1,0,1,2,2,7,2,0,8,7,0,1,0,11,2,0,1
10/12/2021,378,6,22,95,78,77,53,35,21,15,4,0,199,176,3,63,17,104,124,25,45,0,0,1,2,0,1,1,1,0,2,4,0,2,0,3,1,0,0,0,1,3,3,5,4,4,2,0,11,11,0,8,1,11,2,0,0
03/15/2021,368,6,34,43,108,70,63,30,34,12,8,0,201,167,0,96,25,85,114,19,29,0,0,0,0,0,4,0,2,0,3,3,0,3,0,2,1,0,0,1,3,2,3,4,12,4,5,0,23,11,0,7,3,11,7,4,2
04/03/2020,466,24,160,2,71,64,77,94,79,49,30,0,254,212,0,121,28,199,84,14,20,0,0,1,2,2,4,6,9,0,11,13,0,3,0,19,2,0,0,2,7,9,23,26,39,33,21,0,75,85,0,37,4,93,19,4,3
08/20/2020,422,3,24,48,120,85,64,58,33,10,4,0,235,186,1,186,8,72,113,12,31,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,4,5,4,3,5,2,1,0,13,11,0,11,1,4,7,1,0
06/03/2020,280,21,50,23,61,47,41,44,32,18,14,0,154,126,0,129,3,75,31,16,26,0,2,0,0,0,1,9,9,0,10,11,0,9,0,8,4,0,0,1,7,5,2,4,15,9,7,0,23,27,0,12,0,28,9,0,1
08/14/2020,347,3,26,54,86,64,59,40,26,10,8,0,178,165,4,145,5,70,92,14,21,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,1,1,2,3,3,7,5,4,0,14,12,0,5,0,15,6,0,0
11/03/2021,520,7,36,144,98,104,58,56,32,17,11,0,279,234,7,64,11,163,163,36,83,0,0,2,1,0,0,0,4,0,4,3,0,2,1,3,1,0,0,0,3,7,1,6,6,8,5,0,22,14,0,5,0,15,11,2,3
10/12/2020,682,4,37,69,180,119,123,91,59,31,10,0,322,356,4,243,28,108,200,35,68,0,0,0,1,1,0,2,0,0,2,2,0,3,0,1,0,0,0,0,3,3,7,7,7,7,3,0,15,22,0,9,2,12,11,0,3
06/18/2021,35,2,9,2,10,6,6,6,2,1,2,0,19,16,0,6,2,17,9,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,1,5,1,0,0,0,4,5,0,3,0,4,2,0,0
01/21/2021,817,10,61,97,191,160,121,118,76,36,18,0,417,399,1,313,27,183,185,41,68,0,0,1,1,0,2,2,4,0,5,5,0,3,0,5,2,0,0,3,3,5,5,11,14,17,3,0,30,31,0,19,2,30,8,2,0
02/03/2021,572,7,40,83,143,100,75,63,65,27,16,0,292,280,0,207,18,131,155,17,44,0,0,0,1,0,2,2,2,0,2,5,0,3,0,3,1,0,0,0,3,2,5,6,11,8,5,0,20,20,0,17,0,16,4,1,2
06/22/2021,33,3,3,3,7,8,3,5,5,1,1,0,19,14,0,2,0,16,9,2,4,0,0,0,0,2,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,1,1,0,1,0,0
06/24/2020,245,9,25,22,77,56,28,34,11,9,8,0,143,101,1,91,6,60,56,5,27,0,0,0,0,3,4,1,1,0,5,4,0,6,1,2,0,0,0,0,7,4,1,4,2,6,1,0,18,7,0,6,0,15,4,0,0
10/20/2021,322,5,12,68,87,52,41,31,28,11,4,0,145,175,2,72,17,75,101,15,42,0,0,0,1,2,0,1,1,0,1,4,0,2,0,2,1,0,0,0,0,1,0,2,4,2,3,0,7,5,0,2,0,7,1,1,1
06/27/2021,16,1,1,4,2,5,1,0,1,3,0,0,10,6,0,3,1,6,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
08/16/2021,589,3,25,62,148,149,104,60,46,13,7,0,283,304,2,129,32,139,197,9,83,1,0,0,0,0,2,0,0,0,0,3,0,1,0,2,0,0,0,2,2,4,3,4,4,4,2,0,13,12,0,6,1,13,4,1,0
12/14/2021,2742,14,100,510,845,622,346,220,131,43,23,2,1443,1272,27,340,58,762,815,219,548,0,0,1,2,3,3,1,4,0,10,4,0,4,0,4,6,0,0,5,16,14,12,10,19,15,9,0,56,44,0,12,0,56,20,5,7
03/17/2021,483,9,28,47,165,104,70,49,35,9,4,0,241,241,1,101,29,106,182,16,49,0,0,1,1,0,2,1,4,0,4,5,0,1,0,5,3,0,0,0,5,3,4,5,5,3,3,0,15,13,0,7,1,17,3,0,0
03/26/2021,600,6,37,75,216,134,68,56,34,6,11,0,290,310,0,167,29,103,226,26,49,0,0,0,0,2,2,0,2,0,4,2,0,0,1,4,1,0,0,1,7,0,6,8,5,6,4,0,16,21,0,6,0,22,9,0,0
03/29/2020,282,20,130,4,29,48,54,50,50,30,17,0,128,154,0,54,12,153,42,11,10,0,1,0,1,4,4,6,4,0,3,17,0,2,2,14,2,0,0,0,6,12,25,23,26,24,14,0,56,74,0,21,3,93,10,2,1
09/11/2021,322,6,31,66,71,71,48,29,16,15,6,0,183,137,2,84,9,70,93,24,42,0,0,0,0,1,1,1,3,0,2,4,0,2,0,3,1,0,0,0,4,5,8,3,6,2,3,0,13,18,0,8,0,16,6,0,1
12/31/2020,971,22,71,89,251,199,141,119,79,56,37,0,491,477,3,277,40,139,360,43,112,0,0,0,0,2,3,11,6,0,10,12,0,9,0,8,5,0,0,2,1,5,6,12,17,12,16,0,33,38,0,12,2,35,18,4,0
06/21/2020,48,11,16,4,16,11,3,7,2,4,1,0,29,19,0,17,1,12,8,4,6,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,1,1,3,3,4,1,0,11,5,0,6,0,7,2,1,0
01/11/2021,1356,16,83,187,334,267,212,172,104,48,32,0,694,660,2,487,67,252,336,51,163,0,0,0,0,0,2,5,9,0,6,10,0,5,2,4,5,0,0,2,2,6,7,15,20,14,17,0,38,45,0,17,5,46,12,3,0
10/02/2020,414,4,27,46,107,98,59,40,23,30,11,0,206,208,0,183,15,45,124,16,31,0,0,0,0,1,0,2,1,0,2,2,0,2,0,1,1,0,0,0,3,4,4,4,4,4,4,0,14,12,1,8,3,8,7,1,0
03/12/2020,21,0,7,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,3,4,0,0,1,4,2,0,0
08/01/2020,141,5,22,7,45,27,17,25,11,6,3,0,69,72,0,54,1,34,33,5,14,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,3,2,6,5,0,4,2,0,11,11,0,10,0,10,2,0,0
11/03/2020,2143,13,108,262,555,450,350,265,153,65,43,0,1090,1050,3,883,74,296,577,87,226,0,0,0,0,2,5,4,2,0,2,11,0,4,0,4,5,0,0,3,10,12,11,17,23,13,19,0,52,56,0,46,5,36,18,1,2
07/15/2021,132,0,7,14,45,28,21,13,8,3,0,0,77,53,2,15,5,49,39,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,2,5,0,0,0,7,0,0,0
01/14/2021,1053,15,59,135,221,233,175,126,93,46,24,0,547,506,0,411,58,179,252,44,109,0,0,0,1,2,3,2,7,0,3,12,0,5,4,3,3,0,0,0,2,7,6,7,10,19,8,0,32,27,0,16,2,23,13,4,1
12/08/2020,2055,35,84,272,457,395,319,301,165,96,50,0,1060,988,7,853,75,359,410,102,256,0,1,2,4,5,6,5,12,0,13,22,0,13,4,12,6,0,0,2,7,9,12,16,15,11,12,0,47,37,0,24,4,32,16,4,4
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0
04/06/2021,857,4,66,134,234,185,125,90,56,18,15,0,438,416,3,235,64,249,214,26,69,0,0,0,0,1,3,0,0,0,0,4,0,3,0,1,0,0,0,0,2,7,11,16,14,8,8,0,29,37,0,12,1,40,8,3,2
12/17/2021,3445,7,122,598,1044,814,428,287,166,71,37,0,1876,1539,30,410,118,1043,927,264,683,0,0,2,0,2,1,2,0,0,4,3,0,1,0,5,1,0,0,8,15,13,7,14,28,27,10,0,58,64,0,22,3,65,29,0,3
06/29/2021,57,2,4,17,11,13,9,1,3,3,0,0,32,25,0,16,0,17,14,3,7,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,0,0,4,0,0,0
07/09/2021,84,1,8,13,20,26,12,5,5,2,1,0,41,43,0,19,1,25,21,2,16,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,2,1,1,0,1,0,5,3,0,3,0,2,3,0,0
05/17/2021,347,7,48,58,84,74,44,39,33,8,7,0,197,150,0,72,12,159,56,12,36,0,0,0,0,1,1,3,2,0,3,4,0,3,0,4,0,0,0,2,7,5,7,9,8,5,5,0,20,28,0,6,0,38,1,0,3
09/26/2021,205,9,23,40,45,49,25,15,10,15,6,0,105,100,0,35,6,54,80,14,16,0,0,0,2,1,2,2,2,0,4,5,0,2,1,5,1,0,0,0,4,1,2,5,4,3,4,0,12,11,0,3,1,14,5,0,0
06/05/2020,337,17,42,33,75,70,50,51,30,18,10,0,172,165,0,197,5,57,35,10,33,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,6,9,3,0,20,22,0,18,0,15,4,2,3
07/31/2021,270,5,27,34,73,64,39,22,19,11,8,0,142,127,1,62,12,75,86,8,27,0,1,1,0,1,0,1,1,0,2,3,0,1,0,4,0,0,0,1,3,5,7,3,4,2,2,0,14,13,0,4,0,17,5,0,1
10/28/2021,400,6,25,93,77,91,55,45,27,6,6,0,211,189,0,62,16,87,156,23,56,0,0,0,1,0,3,1,1,0,2,4,0,4,0,1,1,0,0,0,0,5,4,3,7,3,3,0,12,13,0,6,1,5,8,0,5
08/13/2021,624,3,37,97,171,154,80,58,39,15,10,0,272,352,0,134,18,143,230,11,88,0,0,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,0,1,5,6,4,5,8,4,4,0,19,18,0,8,0,21,7,1,0
06/21/2021,46,3,5,11,11,9,7,1,5,2,0,0,24,22,0,12,0,17,8,1,8,0,0,0,0,1,1,1,0,0,3,0,0,1,0,2,0,0,0,0,1,0,1,2,0,1,0,0,4,1,0,1,0,4,0,0,0
05/25/2021,129,3,24,15,30,24,20,18,14,6,2,0,81,48,0,28,4,62,23,2,10,0,0,0,0,1,1,0,1,0,1,2,0,0,0,2,1,0,0,0,3,3,3,6,4,2,3,0,12,12,0,1,0,18,4,0,1
11/30/2020,2389,23,123,282,557,500,370,319,199,98,64,0,1270,1116,3,967,96,428,536,93,269,0,0,0,2,2,4,10,5,0,10,13,0,6,1,7,8,1,0,3,14,10,10,15,21,29,21,0,67,56,0,39,11,42,27,3,1
01/21/2022,1391,26,77,336,256,238,180,147,120,56,58,0,763,621,7,331,97,238,402,65,258,0,0,0,0,3,4,2,17,0,13,13,0,4,1,12,9,0,0,3,4,7,7,6,13,12,25,0,42,35,0,18,4,23,28,0,4
06/19/2021,30,2,5,6,11,5,1,2,1,4,0,0,18,12,0,11,3,6,7,1,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,4,1,0,4,1,0,0,0,0
03/13/2021,258,2,16,29,65,62,43,32,20,4,3,0,132,126,0,70,3,53,97,15,20,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,3,3,5,1,0,8,8,0,3,0,8,4,1,0
09/19/2021,244,2,30,55,50,56,34,23,16,2,8,0,127,116,1,47,16,62,73,20,26,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,6,1,5,5,5,2,4,0,14,16,0,5,1,17,4,0,3
03/31/2021,719,4,47,85,226,161,89,92,33,19,14,0,363,354,2,148,40,162,282,21,66,0,0,0,0,1,1,0,2,0,1,3,0,1,0,2,1,0,0,2,3,3,10,12,10,4,3,0,25,22,0,12,1,25,8,1,0
05/11/2021,309,9,34,60,65,69,41,34,30,5,5,0,160,149,0,62,6,139,54,9,39,0,1,0,1,1,1,4,1,0,4,5,0,3,0,3,3,0,0,0,2,5,6,5,7,6,3,0,15,19,0,5,0,22,6,0,1
09/28/2021,384,4,21,85,84,85,40,39,31,12,8,0,213,171,0,64,14,113,131,24,38,0,0,0,0,0,0,1,3,0,3,1,0,0,0,1,3,0,0,1,1,3,3,3,5,1,4,0,13,8,0,3,1,11,4,1,1
01/04/2021,1877,10,86,229,477,386,304,227,137,71,46,0,987,880,10,741,75,329,478,74,180,0,0,0,0,1,2,3,4,0,4,6,0,5,1,0,4,0,0,2,6,4,7,13,17,17,20,0,42,44,0,29,3,37,15,1,1
06/10/2021,39,2,16,7,6,8,6,2,7,1,2,0,17,22,0,7,1,23,6,0,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,2,4,3,3,0,1,0,9,7,0,2,0,7,6,1,0
09/30/2020,462,2,22,47,140,95,53,65,35,17,10,0,236,226,0,166,8,84,130,27,47,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,2,2,2,3,3,5,4,0,10,12,0,8,0,4,9,1,0
11/25/2021,190,3,45,26,42,45,23,25,15,8,6,0,95,94,1,33,9,57,53,12,26,0,0,0,0,0,1,1,1,0,2,1,0,0,0,2,1,0,0,1,8,5,4,8,9,4,6,0,23,22,0,10,1,23,10,0,1
04/11/2021,363,5,52,70,82,76,61,30,28,12,4,0,193,170,0,77,16,128,102,12,28,0,2,0,0,1,0,2,0,0,3,2,0,3,0,1,1,0,0,0,1,9,6,7,14,11,4,0,24,28,0,10,5,25,9,3,0
06/12/2020,248,21,24,32,61,42,46,27,21,8,11,0,141,103,4,139,3,44,31,7,24,0,0,1,0,3,7,7,3,0,9,12,0,11,0,7,3,0,0,1,1,1,1,6,7,5,2,0,11,13,0,12,0,10,2,0,0
05/13/2020,877,45,124,56,189,165,164,135,96,40,32,0,450,421,6,492,23,152,94,23,93,0,0,2,3,4,13,10,13,0,17,28,0,18,5,15,6,1,0,2,5,8,17,24,33,22,13,0,64,60,0,53,2,53,11,2,3
05/16/2020,514,28,102,35,106,87,93,77,59,35,22,0,278,232,4,246,13,109,65,14,67,0,0,1,3,0,6,4,14,0,8,20,0,9,1,12,6,0,0,2,12,4,13,20,18,16,17,0,51,51,0,41,4,32,17,2,6
12/16/2020,1386,25,83,175,324,252,219,205,109,55,47,0,687,693,6,526,50,300,318,53,139,0,0,2,1,0,6,7,9,0,13,12,0,4,1,10,10,0,0,2,6,3,9,19,16,15,13,0,43,40,0,25,2,34,18,3,1
06/28/2020,110,5,27,8,36,22,20,10,9,3,2,0,64,46,0,36,1,23,28,6,16,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,0,5,0,4,5,4,4,5,0,17,10,0,9,0,12,5,0,1
03/20/2020,155,0,52,2,23,22,32,30,27,15,4,0,72,83,0,21,6,77,42,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,12,16,11,1,0,19,33,0,8,1,35,7,1,0
09/02/2020,406,3,21,42,127,81,67,46,25,12,6,0,224,181,1,177,12,67,107,17,26,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0,0,2,4,4,2,4,1,4,0,10,11,0,10,0,6,5,0,0
04/15/2020,631,31,149,21,92,107,111,124,86,46,44,0,306,325,0,262,26,195,77,33,38,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,31,14,0,67,82,0,52,1,71,23,2,0
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
12/26/2020,956,19,81,94,235,180,154,140,89,41,23,0,507,446,3,393,28,146,251,52,86,0,0,0,1,0,3,9,6,0,8,11,0,5,0,6,8,0,0,2,10,5,7,13,16,16,12,0,42,39,0,27,1,35,11,5,2
03/12/2021,351,9,16,52,94,80,49,46,18,6,6,0,203,148,0,98,15,74,120,11,33,0,0,1,1,3,1,1,2,0,4,5,0,3,0,5,1,0,0,1,3,0,3,3,2,3,1,0,9,7,0,4,0,7,4,1,0
12/29/2020,1712,21,66,217,390,355,259,222,149,72,48,0,923,788,1,718,57,308,401,73,155,0,0,0,1,2,5,7,6,0,8,13,0,6,0,9,6,0,0,3,2,5,8,7,18,11,12,0,38,28,0,20,3,23,16,2,2
12/19/2020,852,24,80,96,171,162,160,119,75,40,29,0,450,396,6,332,50,120,221,45,84,0,0,0,0,0,6,7,11,0,11,13,0,8,1,7,8,0,0,2,8,4,5,17,17,12,15,0,43,37,0,31,3,31,12,2,1
04/24/2021,412,10,46,75,84,96,62,49,29,12,5,0,229,183,0,117,16,142,85,14,38,0,0,0,0,2,4,2,2,0,4,6,0,4,0,2,4,0,0,1,3,7,14,6,7,2,6,0,27,19,0,9,0,27,8,0,2
04/13/2020,694,32,153,10,99,115,127,160,91,53,39,0,354,340,0,266,28,230,104,28,38,0,0,1,5,3,7,7,9,0,14,18,0,11,2,17,2,0,0,1,5,11,11,41,28,27,29,0,65,88,0,37,6,70,30,10,0
08/22/2020,191,2,17,18,59,32,28,26,16,10,2,0,97,93,1,75,6,29,60,12,9,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,3,2,3,6,0,0,12,5,0,3,0,10,4,0,0
05/26/2020,751,23,77,61,159,128,137,128,76,40,22,0,393,353,5,410,21,138,74,34,74,0,0,0,0,2,8,9,4,0,8,15,0,7,1,12,3,0,0,2,4,6,8,27,13,9,8,0,42,35,0,29,2,30,13,1,2
08/31/2020,413,2,30,58,121,72,60,49,29,15,9,0,217,195,1,191,5,63,101,14,39,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,2,5,2,5,2,4,4,6,0,14,16,0,5,1,16,4,3,1
09/16/2021,474,7,32,95,114,114,54,49,24,21,3,0,250,222,2,87,21,128,154,31,53,0,0,1,1,1,3,0,1,0,2,5,0,3,0,3,1,0,0,0,2,5,2,8,8,6,1,0,16,16,0,6,0,18,7,1,0
11/09/2020,3230,14,145,386,833,617,529,430,252,118,65,0,1630,1585,15,1339,75,517,830,125,344,0,0,0,0,1,3,7,3,0,5,9,0,6,0,0,8,0,0,1,6,15,13,26,30,34,20,0,72,73,0,44,7,57,30,2,5
06/11/2020,203,10,28,19,63,27,29,33,19,9,4,0,108,91,4,101,3,40,33,7,19,0,0,0,1,1,2,2,4,0,4,6,0,3,1,4,2,0,0,0,4,4,2,5,6,3,4,0,9,19,0,13,0,9,6,0,0
03/08/2020,3,0,7,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,3,4,0,2,0,4,1,0,0
04/29/2020,1152,44,158,54,208,231,219,201,118,62,59,0,547,604,1,632,20,199,148,40,113,0,1,1,4,4,5,9,20,0,21,23,0,16,3,13,12,0,0,0,12,11,23,26,34,20,32,0,79,79,0,59,4,48,36,9,2
11/16/2021,739,6,38,185,138,153,103,65,38,29,28,0,375,358,6,132,18,159,223,60,147,0,0,2,0,0,2,0,2,0,2,4,0,0,0,6,0,0,0,1,1,2,5,9,5,10,5,0,14,24,0,11,0,17,8,2,0
03/23/2021,568,5,43,66,192,124,74,66,28,11,7,0,282,286,0,138,30,96,226,20,58,0,0,0,0,0,2,3,0,0,2,3,0,2,1,2,0,0,0,1,3,7,6,4,17,2,3,0,20,23,0,9,0,23,10,1,0
03/15/2020,40,0,21,0,3,8,9,8,5,4,3,0,13,27,0,6,4,13,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,4,4,2,0,7,14,0,4,2,11,4,0,0
04/09/2021,772,5,60,137,221,150,112,74,53,17,8,0,414,357,1,195,27,247,210,21,72,0,0,0,1,2,0,0,2,0,1,4,0,2,1,0,2,0,0,1,4,4,14,15,11,6,5,0,33,27,0,10,1,32,14,2,1
08/09/2020,115,2,17,16,41,21,12,6,9,6,4,0,53,62,0,47,4,19,38,1,6,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,5,2,1,3,2,0,4,0,9,8,0,3,0,10,3,0,1
08/07/2021,319,2,28,46,79,81,42,36,21,10,4,0,164,154,1,74,21,75,101,11,37,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,3,2,6,4,4,2,6,0,15,13,0,5,0,13,10,0,0
09/01/2021,539,5,30,99,146,107,72,53,38,12,12,0,301,236,2,122,26,136,137,20,98,0,0,0,0,0,0,0,5,0,2,3,0,1,0,3,1,0,0,1,4,5,5,4,4,2,5,0,15,15,0,4,0,16,8,1,1
